name,profile,p[1]_q25,p[1]_q50,p[1]_q75,p[2]_q25,p[2]_q50,p[2]_q75,p[3]_q25,p[3]_q50,p[3]_q75,p[4]_q25,p[4]_q50,p[4]_q75,p[5]_q25,p[5]_q50,p[5]_q75,p[6]_q25,p[6]_q50,p[6]_q75,p[7]_q25,p[7]_q50,p[7]_q75,p[8]_q25,p[8]_q50,p[8]_q75,p[9]_q25,p[9]_q50,p[9]_q75,p[10]_q25,p[10]_q50,p[10]_q75,RE_q25,RE_q50,RE_q75
PKS1830-211,SIE,0.514779275,0.5163741,0.5181185,-0.002756157,-0.0005766083,0.001570361,-0.00240370375,-0.0004436126,0.00144977325,0.4046233,0.422264,0.4458108,-31.16059,-30.458295,-29.80786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5410129,0.5446932,0.54930645
PMNJ0134-0931,SIS+shear,0.3167913,0.3183476,0.3200785,0.005316431,0.007320704,0.009269787,0.02681042,0.0281429949999999,0.02955519,0.0,0.0,0.0,0.0,0.0,0.0,0.5588476499999999,0.56300835,0.566755,-47.47575,-47.286565,-47.10238,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3166913,0.3182477,0.3199787
PMNJ1632-0033,SIS,0.733049575,0.7345517500000001,0.7359605,-0.00379052125,-0.001927939,-0.000123120275,-0.00602519,-0.0043966355,-0.002711798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.732949575,0.7344517500000001,0.7358605
PMNJ1838-3427,SIS,0.4941554,0.4955678,0.4970908,-0.000247976875,0.001205905,0.002649783,-0.00285786225,-0.0007332594,0.001300038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.4940554,0.4954678,0.4969908
PMNJ2004-1349,SIE,0.60995365,0.6134914,0.6164572,-0.002558365,-0.0002660826,0.0018881,-0.00207164175,-5.9679705e-05,0.00201338,0.432652325,0.45605375,0.4786889749999999,-37.66335,-36.24129,-34.3556425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6454943500000001,0.6547422,0.6629444
PSJ0030-1525,POW+shear,0.9328247,0.9524951,0.9688747,0.0003344339,0.0055944259999999,0.01124468,0.03012212,0.03236018,0.0348152725,0.5547277,0.5791082,0.60744705,-79.48703,-79.15584000000001,-78.8573,0.070460515,0.07917553,0.0911747,14.12322,15.34526,17.15181,0.0,0.0,0.0,0.0,0.0,0.0,0.8959183749999999,0.93976425,1.00217775,1.0766,1.078563,1.081143
PSJ0140+4107,SIS,0.6571305,0.6585108,0.6599732,-0.0108800499999999,-0.009435526,-0.0078850925,0.005561062,0.00723499,0.00904636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6570303,0.6584106,0.6598729
PSJ0147+4630,SIS,1.755905,1.756915,1.75795,-0.00468697,-0.0032025815,-0.001734992,0.3703541,0.3714525,0.3723934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.755805,1.756815,1.75785
PSJ0417+3325,SIE,0.8263897,0.8359129,0.844684125,-0.001959853,0.0001772397,0.002226677,-0.001435043,0.0006323389,0.002705056,0.2292684,0.23505815,0.2451575,-84.48034,-76.26356,83.91934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8382669,0.8466396,0.8551551
PSJ0630-1201,POW+shear,1.486572,1.490919,1.492703,0.01281796,0.01518235,0.01724844,0.009399731,0.011923095,0.01478578,0.4817331,0.4878672,0.493478,-13.5643325,-13.06194,-12.45352,0.258005375,0.2619765,0.265232,69.6196475,69.94877,70.29991,0.0,0.0,0.0,0.0,0.0,0.0,0.9598458,0.9968932,1.01819425,1.606879,1.60887,1.61096
PSJ0840+3550,SIE,1.340448,1.350652,1.35888,-0.001855719,9.208643e-05,0.001963749,-0.002030245,-1.719914e-05,0.001869009,0.065434815,0.0772243,0.1062623,30.08933,38.51704,49.9883375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.343549,1.352204,1.35995
